102;ladder;1;attic;H 2.111
103;ladder;1;attic;K VOC
104;steekkar;1;attic;K 4.401
105;steekkar;1;attic;K NOC
106;steekkar;1;attic;H 2.111
107;steekkar;1;attic;U B 4.228
108;steekkar;1;attic;K 4.401
109;ethernet 2x305m;1;attic;
110;trappensteekkar;1;attic;U B 4.228
111;trappensteekkar;1;attic;K 4.401
112;veger en blik;1;attic;H 2.111
113;veger en blik;1;attic;U B 4.228
113;veger en blik;1;attic;K 4.401
114;steekkar;1;attic;K 4.401
115;steekkar;1;attic;H 2.111
116;huge video box 1;;office;K VOC
117;huge video box 2;;office;K VOC
118;huge video box 3;;office;K VOC
119;huge video box 4;;office;K VOC
127;huge video box 5;;office;K VOC
128;huge video box 6;;office;K VOC
